Date,Region,Daily confirmed,Daily probable,Daily deceased,Daily total cases,Cumulative confirmed,Cumulative probable,Cumulative deceased,Cumulative total cases
09/11/2020,Auckland,2,0,0,2,278,51,1,329
09/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
09/11/2020,Canterbury,0,0,0,0,172,65,12,237
09/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
09/11/2020,Counties Manukau,1,0,0,1,292,24,1,316
09/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
09/11/2020,Hutt Valley,0,0,0,0,20,3,0,23
09/11/2020,Lakes,0,0,0,0,15,1,0,16
09/11/2020,Midcentral,0,0,0,0,27,5,0,32
09/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
09/11/2020,Northland,0,0,0,0,26,2,0,28
09/11/2020,South Canterbury,0,0,0,0,15,2,0,17
09/11/2020,Southern,0,0,0,0,186,30,2,216
09/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
09/11/2020,Taranaki,0,0,0,0,14,2,0,16
09/11/2020,Waikato,0,0,0,0,155,39,2,194
09/11/2020,Wairarapa,0,0,0,0,6,2,0,8
09/11/2020,Waitemata,0,0,0,0,225,71,4,296
09/11/2020,West Coast,0,0,0,0,4,1,1,5
09/11/2020,Whanganui,0,0,0,0,8,1,0,9
08/11/2020,Auckland,1,0,0,1,276,51,1,327
08/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
08/11/2020,Canterbury,0,0,0,0,172,65,12,237
08/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
08/11/2020,Counties Manukau,0,0,0,0,291,24,1,315
08/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
08/11/2020,Hutt Valley,0,0,0,0,20,3,0,23
08/11/2020,Lakes,0,0,0,0,15,1,0,16
08/11/2020,Midcentral,0,0,0,0,27,5,0,32
08/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
08/11/2020,Northland,0,0,0,0,26,2,0,28
08/11/2020,South Canterbury,0,0,0,0,15,2,0,17
08/11/2020,Southern,0,0,0,0,186,30,2,216
08/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
08/11/2020,Taranaki,0,0,0,0,14,2,0,16
08/11/2020,Waikato,0,0,0,0,155,39,2,194
08/11/2020,Wairarapa,0,0,0,0,6,2,0,8
08/11/2020,Waitemata,0,0,0,0,225,71,4,296
08/11/2020,West Coast,0,0,0,0,4,1,1,5
08/11/2020,Whanganui,0,0,0,0,8,1,0,9
07/11/2020,Auckland,4,0,0,4,275,51,1,326
07/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
07/11/2020,Canterbury,0,0,0,0,172,65,12,237
07/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
07/11/2020,Counties Manukau,1,0,0,1,291,24,1,315
07/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
07/11/2020,Hutt Valley,1,0,0,1,20,3,0,23
07/11/2020,Lakes,0,0,0,0,15,1,0,16
07/11/2020,Midcentral,0,0,0,0,27,5,0,32
07/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
07/11/2020,Northland,0,0,0,0,26,2,0,28
07/11/2020,South Canterbury,0,0,0,0,15,2,0,17
07/11/2020,Southern,0,0,0,0,186,30,2,216
07/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
07/11/2020,Taranaki,0,0,0,0,14,2,0,16
07/11/2020,Waikato,0,0,0,0,155,39,2,194
07/11/2020,Wairarapa,0,0,0,0,6,2,0,8
07/11/2020,Waitemata,0,0,0,0,225,71,4,296
07/11/2020,West Coast,0,0,0,0,4,1,1,5
07/11/2020,Whanganui,0,0,0,0,8,1,0,9
06/11/2020,Auckland,1,0,0,1,271,51,1,322
06/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
06/11/2020,Canterbury,0,0,0,0,172,65,12,237
06/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
06/11/2020,Counties Manukau,0,0,0,0,290,24,1,314
06/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
06/11/2020,Hutt Valley,0,0,0,0,19,3,0,22
06/11/2020,Lakes,0,0,0,0,15,1,0,16
06/11/2020,Midcentral,0,0,0,0,27,5,0,32
06/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
06/11/2020,Northland,0,0,0,0,26,2,0,28
06/11/2020,South Canterbury,0,0,0,0,15,2,0,17
06/11/2020,Southern,0,0,0,0,186,30,2,216
06/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
06/11/2020,Taranaki,0,0,0,0,14,2,0,16
06/11/2020,Waikato,0,0,0,0,155,39,2,194
06/11/2020,Wairarapa,0,0,0,0,6,2,0,8
06/11/2020,Waitemata,0,0,0,0,225,71,4,296
06/11/2020,West Coast,0,0,0,0,4,1,1,5
06/11/2020,Whanganui,0,0,0,0,8,1,0,9
05/11/2020,Auckland,1,0,0,1,270,51,1,321
05/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
05/11/2020,Canterbury,0,0,0,0,172,65,12,237
05/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
05/11/2020,Counties Manukau,0,0,0,0,290,24,1,314
05/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
05/11/2020,Hutt Valley,0,0,0,0,19,3,0,22
05/11/2020,Lakes,0,0,0,0,15,1,0,16
05/11/2020,Midcentral,0,0,0,0,27,5,0,32
05/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
05/11/2020,Northland,0,0,0,0,26,2,0,28
05/11/2020,South Canterbury,0,0,0,0,15,2,0,17
05/11/2020,Southern,0,0,0,0,186,30,2,216
05/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
05/11/2020,Taranaki,0,0,0,0,14,2,0,16
05/11/2020,Waikato,0,0,0,0,155,39,2,194
05/11/2020,Wairarapa,0,0,0,0,6,2,0,8
05/11/2020,Waitemata,0,0,0,0,225,71,4,296
05/11/2020,West Coast,0,0,0,0,4,1,1,5
05/11/2020,Whanganui,0,0,0,0,8,1,0,9
04/11/2020,Auckland,2,0,0,2,269,51,1,320
04/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
04/11/2020,Canterbury,0,0,0,0,172,65,12,237
04/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
04/11/2020,Counties Manukau,1,0,0,1,290,24,1,314
04/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
04/11/2020,Hutt Valley,0,0,0,0,19,3,0,22
04/11/2020,Lakes,0,0,0,0,15,1,0,16
04/11/2020,Midcentral,0,0,0,0,27,5,0,32
04/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
04/11/2020,Northland,0,0,0,0,26,2,0,28
04/11/2020,South Canterbury,0,0,0,0,15,2,0,17
04/11/2020,Southern,0,0,0,0,186,30,2,216
04/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
04/11/2020,Taranaki,0,0,0,0,14,2,0,16
04/11/2020,Waikato,0,0,0,0,155,39,2,194
04/11/2020,Wairarapa,0,0,0,0,6,2,0,8
04/11/2020,Waitemata,0,0,0,0,225,71,4,296
04/11/2020,West Coast,0,0,0,0,4,1,1,5
04/11/2020,Whanganui,0,0,0,0,8,1,0,9
03/11/2020,Auckland,0,0,0,0,267,51,1,318
03/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
03/11/2020,Canterbury,1,0,0,1,172,65,12,237
03/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
03/11/2020,Counties Manukau,0,0,0,0,289,24,1,313
03/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
03/11/2020,Hutt Valley,0,0,0,0,19,3,0,22
03/11/2020,Lakes,0,0,0,0,15,1,0,16
03/11/2020,Midcentral,0,0,0,0,27,5,0,32
03/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
03/11/2020,Northland,0,0,0,0,26,2,0,28
03/11/2020,South Canterbury,0,0,0,0,15,2,0,17
03/11/2020,Southern,0,0,0,0,186,30,2,216
03/11/2020,Tairawhiti,0,0,0,0,3,1,0,4
03/11/2020,Taranaki,0,0,0,0,14,2,0,16
03/11/2020,Waikato,0,0,0,0,155,39,2,194
03/11/2020,Wairarapa,0,0,0,0,6,2,0,8
03/11/2020,Waitemata,0,0,0,0,225,71,4,296
03/11/2020,West Coast,0,0,0,0,4,1,1,5
03/11/2020,Whanganui,0,0,0,0,8,1,0,9
02/11/2020,Auckland,0,0,0,0,267,51,1,318
02/11/2020,Bay of Plenty,0,0,0,0,34,14,0,48
02/11/2020,Canterbury,1,0,0,1,171,65,12,236
02/11/2020,Capital and Coast,0,0,0,0,74,24,2,98
02/11/2020,Counties Manukau,4,0,0,4,289,24,1,313
02/11/2020,Hawke's Bay,0,0,0,0,38,6,0,44
02/11/2020,Hutt Valley,0,0,0,0,19,3,0,22
02/11/2020,Lakes,0,0,0,0,15,1,0,16
02/11/2020,Midcentral,0,0,0,0,27,5,0,32
02/11/2020,Nelson Marlborough,0,0,0,0,38,12,0,50
