Week ending,Group,DHB of service,Dose number,# doses administered,Notes: 
2021-03-28,Group 2,Canterbury,1,62,
2021-03-28,Group 2,Canterbury,2,37,
2021-03-28,Group 2,Capital & Coast and Hutt Valley,1,1596,
2021-03-28,Group 2,Capital & Coast and Hutt Valley,2,29,
2021-03-28,Group 2,Hawke's Bay,1,318,
2021-03-28,Group 2,Hawke's Bay,2,20,
2021-03-28,Group 2,Lakes,1,109,
2021-03-28,Group 2,Lakes,2,51,
2021-03-28,Group 2,MidCentral,1,17,
2021-03-28,Group 2,Nelson Marlborough,1,566,
2021-03-28,Group 2,Nelson Marlborough,2,55,
2021-03-28,Group 2,Northland,1,51,
2021-03-28,Group 2,Other Sites,1,2753,
2021-03-28,Group 2,Other Sites,2,11,
2021-03-28,Group 2,South Canterbury,1,17,
2021-03-28,Group 2,South Canterbury,2,108,
2021-03-28,Group 2,Southern,1,185,
2021-03-28,Group 2,Southern,2,51,
2021-03-28,Group 2,Tairawhiti,1,37,
2021-03-28,Group 2,Tairawhiti,2,149,
2021-03-28,Group 2,Taranaki,1,208,
2021-03-28,Group 2,Taranaki,2,14,
2021-03-28,Group 2,Waikato,1,346,
2021-03-28,Group 2,Waikato,2,456,
2021-04-04,Group 1,Auckland Metro,1,1745,
2021-04-04,Group 1,Auckland Metro,2,2290,
2021-04-04,Group 1,Bay of Plenty,1,88,
2021-04-04,Group 1,Bay of Plenty,2,113,
2021-04-04,Group 1,Canterbury,1,631,
2021-04-04,Group 1,Canterbury,2,679,
2021-04-04,Group 1,Capital & Coast and Hutt Valley,1,372,
2021-04-04,Group 1,Capital & Coast and Hutt Valley,2,80,
2021-04-04,Group 1,Hawke's Bay,1,26,
2021-04-04,Group 1,Hawke's Bay,2,105,
2021-04-04,Group 1,Lakes,1,49,
2021-04-04,Group 1,Lakes,2,105,
2021-04-04,Group 1,MidCentral,1,79,
2021-04-04,Group 1,Nelson Marlborough,1,38,
2021-04-04,Group 1,Nelson Marlborough,2,195,
2021-04-04,Group 1,Northland,1,99,
2021-04-04,Group 1,Northland,2,125,
2021-04-04,Group 1,Other Sites,2,120,
2021-04-04,Group 1,South Canterbury,1,39,
2021-04-04,Group 1,South Canterbury,2,5,
2021-04-04,Group 1,Southern,1,38,
2021-04-04,Group 1,Southern,2,15,
2021-04-04,Group 1,Taranaki,1,21,
2021-04-04,Group 1,Taranaki,2,66,
2021-04-04,Group 1,Waikato,1,76,
2021-04-04,Group 1,Waikato,2,187,
2021-04-04,Group 2,Auckland Metro,1,7680,
2021-04-04,Group 2,Auckland Metro,2,1177,
2021-04-04,Group 2,Bay of Plenty,1,354,
2021-04-04,Group 2,Bay of Plenty,2,19,
2021-04-04,Group 2,Canterbury,1,54,
2021-04-04,Group 2,Canterbury,2,19,
2021-04-04,Group 2,Capital & Coast and Hutt Valley,1,3477,
2021-04-04,Group 2,Capital & Coast and Hutt Valley,2,37,
2021-04-04,Group 2,Hawke's Bay,1,66,
2021-04-04,Group 2,Lakes,1,48,
2021-04-04,Group 2,Lakes,2,38,
2021-04-04,Group 2,MidCentral,1,11,
2021-04-04,Group 2,Nelson Marlborough,1,1259,
2021-04-04,Group 2,Nelson Marlborough,2,90,
2021-04-04,Group 2,Northland,1,190,
2021-04-04,Group 2,Northland,2,7,
2021-04-04,Group 2,Other Sites,1,1210,
2021-04-04,Group 2,Other Sites,2,70,
2021-04-04,Group 2,South Canterbury,1,469,
2021-04-04,Group 2,South Canterbury,2,12,
2021-04-04,Group 2,Southern,1,2423,
2021-04-04,Group 2,Taranaki,1,303,
2021-04-04,Group 2,Taranaki,2,88,
2021-04-04,Group 2,Waikato,1,869,
2021-04-04,Group 2,Waikato,2,384,
2021-04-04,Group 2,Whanganui,1,90,
2021-04-04,Group 3,Capital & Coast and Hutt Valley,1,21,
2021-04-04,Group 3,Nelson Marlborough,1,678,
2021-04-04,Group 3,Southern,1,12,
2021-04-11,Group 1,Auckland Metro,1,1678,
2021-04-11,Group 1,Auckland Metro,2,3256,
2021-04-11,Group 1,Bay of Plenty,1,79,
2021-04-11,Group 1,Bay of Plenty,2,166,
2021-04-11,Group 1,Canterbury,1,684,
2021-04-11,Group 1,Canterbury,2,702,
2021-04-11,Group 1,Capital & Coast and Hutt Valley,1,548,
2021-04-11,Group 1,Capital & Coast and Hutt Valley,2,51,
2021-04-11,Group 1,Hawke's Bay,1,22,
2021-04-11,Group 1,Hawke's Bay,2,38,
2021-04-11,Group 1,Lakes,1,98,
2021-04-11,Group 1,Lakes,2,114,
2021-04-11,Group 1,MidCentral,1,164,
2021-04-11,Group 1,Nelson Marlborough,1,75,
2021-04-11,Group 1,Nelson Marlborough,2,99,
2021-04-11,Group 1,Northland,1,38,
2021-04-11,Group 1,Northland,2,60,
2021-04-11,Group 1,Other Sites,2,28,
2021-04-11,Group 1,South Canterbury,1,55,
2021-04-11,Group 1,South Canterbury,2,61,
2021-04-11,Group 1,Southern,1,496,
2021-04-11,Group 1,Southern,2,7,
2021-04-11,Group 1,Taranaki,1,11,
2021-04-11,Group 1,Taranaki,2,67,
2021-04-11,Group 1,Waikato,1,63,
2021-04-11,Group 1,Waikato,2,95,
2021-04-11,Group 1,West Coast,1,6,
2021-04-11,Group 2,Auckland Metro,1,9519,
2021-04-11,Group 2,Auckland Metro,2,608,
2021-04-11,Group 2,Bay of Plenty,1,578,
2021-04-11,Group 2,Bay of Plenty,2,15,
2021-04-11,Group 2,Canterbury,1,72,
2021-04-11,Group 2,Canterbury,2,26,
2021-04-11,Group 2,Capital & Coast and Hutt Valley,1,3618,
2021-04-11,Group 2,Capital & Coast and Hutt Valley,2,195,
2021-04-11,Group 2,Hawke's Bay,1,509,
2021-04-11,Group 2,Hawke's Bay,2,26,
2021-04-11,Group 2,Lakes,1,570,
2021-04-11,Group 2,Lakes,2,49,
2021-04-11,Group 2,MidCentral,1,13,
2021-04-11,Group 2,Nelson Marlborough,1,907,
2021-04-11,Group 2,Nelson Marlborough,2,673,
2021-04-11,Group 2,Northland,1,1594,
2021-04-11,Group 2,Northland,2,5,
2021-04-11,Group 2,Other Sites,1,421,
2021-04-11,Group 2,Other Sites,2,2108,
2021-04-11,Group 2,South Canterbury,1,291,
2021-04-11,Group 2,South Canterbury,2,140,
2021-04-11,Group 2,Southern,1,2274,
2021-04-11,Group 2,Taranaki,1,169,
2021-04-11,Group 2,Taranaki,2,83,
2021-04-11,Group 2,Waikato,1,1109,
2021-04-11,Group 2,Waikato,2,664,
2021-04-11,Group 2,Wairarapa,1,115,
2021-04-11,Group 2,West Coast,1,28,
2021-04-11,Group 2,Whanganui,1,177,
2021-04-11,Group 3,Auckland Metro,1,6,
2021-04-11,Group 3,Capital & Coast and Hutt Valley,1,24,
2021-04-11,Group 3,Nelson Marlborough,1,1138,
2021-04-11,Group 3,Other Sites,1,12,
2021-04-11,Group 3,Southern,1,17,
2021-04-18,Group 1,Auckland Metro,1,2033,
2021-04-18,Group 1,Auckland Metro,2,2507,
2021-04-18,Group 1,Bay of Plenty,1,58,
2021-04-18,Group 1,Bay of Plenty,2,250,
2021-04-18,Group 1,Canterbury,1,1164,
2021-04-18,Group 1,Canterbury,2,361,
2021-04-18,Group 1,Capital & Coast and Hutt Valley,1,509,
2021-04-18,Group 1,Capital & Coast and Hutt Valley,2,207,
2021-04-18,Group 1,Hawke's Bay,1,90,
2021-04-18,Group 1,Hawke's Bay,2,50,
2021-04-18,Group 1,Lakes,1,169,
2021-04-18,Group 1,Lakes,2,52,
2021-04-18,Group 1,MidCentral,1,118,
2021-04-18,Group 1,MidCentral,2,7,
2021-04-18,Group 1,Nelson Marlborough,1,60,
2021-04-18,Group 1,Nelson Marlborough,2,61,
2021-04-18,Group 1,Northland,1,37,
2021-04-18,Group 1,Northland,2,85,
2021-04-18,Group 1,Other Sites,2,52,
2021-04-18,Group 1,South Canterbury,1,30,
2021-04-18,Group 1,South Canterbury,2,7,
2021-04-18,Group 1,Southern,1,849,
2021-04-18,Group 1,Southern,2,345,
2021-04-18,Group 1,Tairawhiti,1,10,
2021-04-18,Group 1,Tairawhiti,2,42,
2021-04-18,Group 1,Taranaki,1,19,
2021-04-18,Group 1,Taranaki,2,72,
2021-04-18,Group 1,Waikato,1,92,
2021-04-18,Group 1,Waikato,2,157,
2021-04-18,Group 2,Auckland Metro,1,10901,
2021-04-18,Group 2,Auckland Metro,2,969,
2021-04-18,Group 2,Bay of Plenty,1,914,
2021-04-18,Group 2,Bay of Plenty,2,64,
2021-04-18,Group 2,Canterbury,1,4343,
2021-04-18,Group 2,Canterbury,2,184,
2021-04-18,Group 2,Capital & Coast and Hutt Valley,1,3195,
2021-04-18,Group 2,Capital & Coast and Hutt Valley,2,854,
2021-04-18,Group 2,Hawke's Bay,1,847,
2021-04-18,Group 2,Hawke's Bay,2,267,
2021-04-18,Group 2,Lakes,1,573,
2021-04-18,Group 2,Lakes,2,105,
2021-04-18,Group 2,MidCentral,1,209,
2021-04-18,Group 2,MidCentral,2,11,
2021-04-18,Group 2,Nelson Marlborough,1,1219,
2021-04-18,Group 2,Nelson Marlborough,2,469,
2021-04-18,Group 2,Northland,1,1539,
2021-04-18,Group 2,Northland,2,28,
2021-04-18,Group 2,Other Sites,1,239,
2021-04-18,Group 2,Other Sites,2,2818,
2021-04-18,Group 2,South Canterbury,1,607,
2021-04-18,Group 2,South Canterbury,2,37,
2021-04-18,Group 2,Southern,1,3897,
2021-04-18,Group 2,Southern,2,116,
2021-04-18,Group 2,Tairawhiti,1,672,
2021-04-18,Group 2,Tairawhiti,2,46,
2021-04-18,Group 2,Taranaki,1,262,
2021-04-18,Group 2,Taranaki,2,65,
2021-04-18,Group 2,Waikato,1,1931,
2021-04-18,Group 2,Waikato,2,759,
2021-04-18,Group 2,Wairarapa,1,473,
2021-04-18,Group 2,West Coast,1,127,
2021-04-18,Group 2,Whanganui,1,509,
2021-04-18,Group 3,Auckland Metro,1,22,
2021-04-18,Group 3,Canterbury,1,20,
2021-04-18,Group 3,Capital & Coast and Hutt Valley,1,24,
2021-04-18,Group 3,MidCentral,1,22,
2021-04-18,Group 3,Nelson Marlborough,1,611,
2021-04-18,Group 3,Northland,1,40,
2021-04-18,Group 3,Southern,1,140,
2021-04-18,Group 3,Waikato,1,29,
2021-04-25,Group 1,Auckland Metro,1,2146,
2021-04-25,Group 1,Auckland Metro,2,1960,
2021-04-25,Group 1,Bay of Plenty,1,70,
2021-04-25,Group 1,Bay of Plenty,2,163,
2021-04-25,Group 1,Canterbury,1,1041,
2021-04-25,Group 1,Canterbury,2,366,
2021-04-25,Group 1,Capital & Coast and Hutt Valley,1,203,
2021-04-25,Group 1,Capital & Coast and Hutt Valley,2,354,
2021-04-25,Group 1,Hawke's Bay,1,22,
2021-04-25,Group 1,Hawke's Bay,2,31,
2021-04-25,Group 1,Lakes,1,184,
2021-04-25,Group 1,Lakes,2,54,
2021-04-25,Group 1,MidCentral,1,38,
2021-04-25,Group 1,MidCentral,2,73,
2021-04-25,Group 1,Nelson Marlborough,1,65,
2021-04-25,Group 1,Nelson Marlborough,2,44,
2021-04-25,Group 1,Northland,1,22,
2021-04-25,Group 1,Northland,2,91,
2021-04-25,Group 1,Other Sites,2,43,
2021-04-25,Group 1,South Canterbury,1,11,
2021-04-25,Group 1,South Canterbury,2,39,
2021-04-25,Group 1,Southern,1,42,
2021-04-25,Group 1,Southern,2,62,
2021-04-25,Group 1,Tairawhiti,1,10,
2021-04-25,Group 1,Taranaki,1,16,
2021-04-25,Group 1,Taranaki,2,33,
2021-04-25,Group 1,Waikato,1,54,
2021-04-25,Group 1,Waikato,2,106,
2021-04-25,Group 2,Auckland Metro,1,7607,
2021-04-25,Group 2,Auckland Metro,2,5507,
2021-04-25,Group 2,Bay of Plenty,1,1545,
2021-04-25,Group 2,Bay of Plenty,2,277,
2021-04-25,Group 2,Canterbury,1,5596,
2021-04-25,Group 2,Canterbury,2,109,
2021-04-25,Group 2,Capital & Coast and Hutt Valley,1,1934,
2021-04-25,Group 2,Capital & Coast and Hutt Valley,2,2530,
2021-04-25,Group 2,Hawke's Bay,1,1272,
2021-04-25,Group 2,Hawke's Bay,2,86,
2021-04-25,Group 2,Lakes,1,1310,
2021-04-25,Group 2,Lakes,2,63,
2021-04-25,Group 2,MidCentral,1,869,
2021-04-25,Group 2,MidCentral,2,16,
2021-04-25,Group 2,Nelson Marlborough,1,1260,
2021-04-25,Group 2,Nelson Marlborough,2,1070,
2021-04-25,Group 2,Northland,1,1347,
2021-04-25,Group 2,Northland,2,169,
2021-04-25,Group 2,Other Sites,1,503,
2021-04-25,Group 2,Other Sites,2,1628,
2021-04-25,Group 2,South Canterbury,1,722,
2021-04-25,Group 2,South Canterbury,2,416,
2021-04-25,Group 2,Southern,1,2492,
2021-04-25,Group 2,Southern,2,1254,
2021-04-25,Group 2,Tairawhiti,1,610,
2021-04-25,Group 2,Tairawhiti,2,6,
2021-04-25,Group 2,Taranaki,1,206,
2021-04-25,Group 2,Taranaki,2,195,
2021-04-25,Group 2,Waikato,1,3178,
2021-04-25,Group 2,Waikato,2,802,
2021-04-25,Group 2,Wairarapa,1,503,
2021-04-25,Group 2,West Coast,1,306,
2021-04-25,Group 2,Whanganui,1,778,
2021-04-25,Group 2,Whanganui,2,77,
2021-04-25,Group 3,Auckland Metro,1,48,
2021-04-25,Group 3,Canterbury,1,21,
2021-04-25,Group 3,Capital & Coast and Hutt Valley,1,51,
2021-04-25,Group 3,Capital & Coast and Hutt Valley,2,9,
2021-04-25,Group 3,Hawke's Bay,1,52,
2021-04-25,Group 3,Lakes,1,5,
2021-04-25,Group 3,Nelson Marlborough,1,875,
2021-04-25,Group 3,Nelson Marlborough,2,512,
2021-04-25,Group 3,Northland,1,114,
2021-04-25,Group 3,Southern,1,101,
2021-04-25,Group 3,Southern,2,5,
2021-04-25,Group 3,Waikato,1,111,
2021-04-25,Group 3,Whanganui,1,5,
2021-05-02,Group 1,Auckland Metro,1,1840,
2021-05-02,Group 1,Auckland Metro,2,1601,
2021-05-02,Group 1,Bay of Plenty,1,106,
2021-05-02,Group 1,Bay of Plenty,2,88,
2021-05-02,Group 1,Canterbury,1,871,
2021-05-02,Group 1,Canterbury,2,408,
2021-05-02,Group 1,Capital & Coast and Hutt Valley,1,249,
2021-05-02,Group 1,Capital & Coast and Hutt Valley,2,482,
2021-05-02,Group 1,Hawke's Bay,1,25,
2021-05-02,Group 1,Hawke's Bay,2,26,
2021-05-02,Group 1,Lakes,1,262,
2021-05-02,Group 1,Lakes,2,92,
2021-05-02,Group 1,MidCentral,1,33,
2021-05-02,Group 1,MidCentral,2,128,
2021-05-02,Group 1,Nelson Marlborough,1,51,
2021-05-02,Group 1,Nelson Marlborough,2,37,
2021-05-02,Group 1,Northland,1,13,
2021-05-02,Group 1,Northland,2,37,
2021-05-02,Group 1,Other Sites,2,42,
2021-05-02,Group 1,South Canterbury,1,5,
2021-05-02,Group 1,South Canterbury,2,55,
2021-05-02,Group 1,Southern,1,147,
2021-05-02,Group 1,Southern,2,68,
2021-05-02,Group 1,Tairawhiti,1,13,
2021-05-02,Group 1,Taranaki,1,10,
2021-05-02,Group 1,Taranaki,2,27,
2021-05-02,Group 1,Waikato,1,33,
2021-05-02,Group 1,Waikato,2,62,
2021-05-02,Group 1,Wairarapa,1,7,
2021-05-02,Group 1,West Coast,2,6,
2021-05-02,Group 2,Auckland Metro,1,7948,
2021-05-02,Group 2,Auckland Metro,2,7779,
2021-05-02,Group 2,Bay of Plenty,1,1968,
2021-05-02,Group 2,Bay of Plenty,2,356,
2021-05-02,Group 2,Canterbury,1,4565,
2021-05-02,Group 2,Canterbury,2,70,
2021-05-02,Group 2,Capital & Coast and Hutt Valley,1,1975,
2021-05-02,Group 2,Capital & Coast and Hutt Valley,2,3000,
2021-05-02,Group 2,Hawke's Bay,1,1635,
2021-05-02,Group 2,Hawke's Bay,2,455,
2021-05-02,Group 2,Lakes,1,706,
2021-05-02,Group 2,Lakes,2,514,
2021-05-02,Group 2,MidCentral,1,1067,
2021-05-02,Group 2,MidCentral,2,16,
2021-05-02,Group 2,Nelson Marlborough,1,1342,
2021-05-02,Group 2,Nelson Marlborough,2,657,
2021-05-02,Group 2,Northland,1,2189,
2021-05-02,Group 2,Northland,2,931,
2021-05-02,Group 2,Other Sites,1,312,
2021-05-02,Group 2,Other Sites,2,645,
2021-05-02,Group 2,South Canterbury,1,615,
2021-05-02,Group 2,South Canterbury,2,278,
2021-05-02,Group 2,Southern,1,1359,
2021-05-02,Group 2,Southern,2,1549,
2021-05-02,Group 2,Tairawhiti,1,206,
2021-05-02,Group 2,Tairawhiti,2,6,
2021-05-02,Group 2,Taranaki,1,311,
2021-05-02,Group 2,Taranaki,2,251,
2021-05-02,Group 2,Waikato,1,3189,
2021-05-02,Group 2,Waikato,2,808,
2021-05-02,Group 2,Wairarapa,1,501,
2021-05-02,Group 2,Wairarapa,2,81,
2021-05-02,Group 2,West Coast,1,365,
2021-05-02,Group 2,West Coast,2,20,
2021-05-02,Group 2,Whanganui,1,682,
2021-05-02,Group 2,Whanganui,2,136,
2021-05-02,Group 3,Auckland Metro,1,318,
2021-05-02,Group 3,Bay of Plenty,1,17,
2021-05-02,Group 3,Canterbury,1,18,
2021-05-02,Group 3,Capital & Coast and Hutt Valley,1,84,
2021-05-02,Group 3,Capital & Coast and Hutt Valley,2,23,
2021-05-02,Group 3,Lakes,1,74,
2021-05-02,Group 3,Nelson Marlborough,1,505,
2021-05-02,Group 3,Nelson Marlborough,2,848,
2021-05-02,Group 3,Northland,1,585,
2021-05-02,Group 3,Other Sites,2,13,
2021-05-02,Group 3,South Canterbury,1,6,
2021-05-02,Group 3,Southern,1,21,
2021-05-02,Group 3,Southern,2,10,
2021-05-02,Group 3,Waikato,1,216,
2021-05-02,Group 3,Wairarapa,1,28,
2021-05-02,Group 3,West Coast,1,7,
2021-05-02,Group 3,Whanganui,1,18,
2021-05-09,Group 1,Auckland Metro,1,1352,
2021-05-09,Group 1,Auckland Metro,2,1787,
2021-05-09,Group 1,Bay of Plenty,1,74,
2021-05-09,Group 1,Bay of Plenty,2,71,
2021-05-09,Group 1,Canterbury,1,710,
2021-05-09,Group 1,Canterbury,2,846,
2021-05-09,Group 1,Capital & Coast and Hutt Valley,1,482,
2021-05-09,Group 1,Capital & Coast and Hutt Valley,2,585,
2021-05-09,Group 1,Hawke's Bay,1,16,
2021-05-09,Group 1,Hawke's Bay,2,59,
2021-05-09,Group 1,Lakes,1,238,
2021-05-09,Group 1,Lakes,2,111,
2021-05-09,Group 1,MidCentral,1,24,
2021-05-09,Group 1,MidCentral,2,135,
2021-05-09,Group 1,Nelson Marlborough,1,56,
2021-05-09,Group 1,Nelson Marlborough,2,84,
2021-05-09,Group 1,Northland,2,23,
2021-05-09,Group 1,Other Sites,1,619,
2021-05-09,Group 1,Other Sites,2,54,
2021-05-09,Group 1,South Canterbury,2,30,
2021-05-09,Group 1,Southern,1,97,
2021-05-09,Group 1,Southern,2,588,
2021-05-09,Group 1,Tairawhiti,1,6,
2021-05-09,Group 1,Tairawhiti,2,8,
2021-05-09,Group 1,Taranaki,1,12,
2021-05-09,Group 1,Taranaki,2,21,
2021-05-09,Group 1,Waikato,1,35,
2021-05-09,Group 1,Waikato,2,77,
2021-05-09,Group 2,Auckland Metro,1,12009,
2021-05-09,Group 2,Auckland Metro,2,10573,
2021-05-09,Group 2,Bay of Plenty,1,2798,
2021-05-09,Group 2,Bay of Plenty,2,679,
2021-05-09,Group 2,Canterbury,1,3969,
2021-05-09,Group 2,Canterbury,2,1491,
2021-05-09,Group 2,Capital & Coast and Hutt Valley,1,3386,
2021-05-09,Group 2,Capital & Coast and Hutt Valley,2,3660,
2021-05-09,Group 2,Hawke's Bay,1,2196,
2021-05-09,Group 2,Hawke's Bay,2,761,
2021-05-09,Group 2,Lakes,1,858,
2021-05-09,Group 2,Lakes,2,540,
2021-05-09,Group 2,MidCentral,1,1913,
2021-05-09,Group 2,MidCentral,2,168,
2021-05-09,Group 2,Nelson Marlborough,1,724,
2021-05-09,Group 2,Nelson Marlborough,2,1070,
2021-05-09,Group 2,Northland,1,2010,
2021-05-09,Group 2,Northland,2,1319,
2021-05-09,Group 2,Other Sites,1,1979,
2021-05-09,Group 2,Other Sites,2,167,
2021-05-09,Group 2,South Canterbury,1,623,
2021-05-09,Group 2,South Canterbury,2,593,
2021-05-09,Group 2,Southern,1,1579,
2021-05-09,Group 2,Southern,2,2729,
2021-05-09,Group 2,Tairawhiti,1,113,
2021-05-09,Group 2,Tairawhiti,2,575,
2021-05-09,Group 2,Taranaki,1,574,
2021-05-09,Group 2,Taranaki,2,272,
2021-05-09,Group 2,Waikato,1,2968,
2021-05-09,Group 2,Waikato,2,1529,
2021-05-09,Group 2,Wairarapa,1,481,
2021-05-09,Group 2,Wairarapa,2,279,
