Address,Opening hours,location,Event description,page
"Samoa Vaccination Community Action, Manurewa Netball Centre, 95 Browns Road, Manurewa",9am to 5pm,Auckland,Pacific vaccination events,
"Shot Aorere College Whaanau, Aorere College, 2 Selfs Road, Papatoetoe",9am to 3pm,Auckland,Pacific vaccination events,
"COVID-19 pop-up vaccination, Onehunga High School, 24 Pleasant Street, Onehunga",9am to 3:30pm,Auckland,Pacific vaccination events,
"It’s a Shore thing – Malu’i Ma’a Tonga, Eventfinda Stadium, 17 Silverfield, Wairau Valley, Auckland",1pm to 4pm,Auckland,Pacific vaccination events,
"North Shore Samoa Tutu Faatasi Vax Drive-thru, The Church of Jesus Christ Latter-Day Saints, 4 Aeroview Drive, Beachaven",8:30am to 12:30pm,Auckland,Pacific vaccination events,
"Super Saturday Shot, Cook Island Hall, Swansea Road, Flaxmere",10am to 5:30pm,Hastings,Pacific vaccination events,
"Pasifika Youth Vaccination festival, Cannons Creek Cage, Porirua",9am to 5pm,Wellington,Pacific vaccination events,
"Tongan COVID-19, Etu Pacific Health Clinic, 173 Montreal Street, Christchurch",9am to 4:30pm,Christchurch,Pacific vaccination events,
"End of Oaklands Road, Albany, Auckland",8am to 8.30pm,,Super accessible vaccination centres,Auckland
"35 Graham Street, Auckland CBD",8am to 10pm,,Super accessible vaccination centres,Auckland
"Pacific Westgate, 7-11 Westgate Drive, Westgate, Auckland",8.30am to 3.30pm,,Super accessible vaccination centres,Auckland
"Manurewa marae, 81 Finlayson Avenue, Clendon Park, Manukau City",9am to 3pm,,Super accessible vaccination centres,Auckland
"Mt Wellington, 95-105 Leonard Rd",8:30am to 6pm,Central Auckland,"Sausage sizzle, giveways donated by local businesses, 400 x brownies by Waipuna Trust",Auckland
"CBD, 35 Graham Street,",8am to 10pm,Central Auckland,"Rainbow inclusive, decorating, sausage sizzle, coffee carts, giveaways, incl Bridge Climb, food and restaurant vouchers. DJ from 6-9pm",Auckland
"Epsom, 382 Manukau Rd",8am to 6:15pm,Central Auckland,"Sausage sizzle, icecream, and balloons for kids",Auckland
