Ethnic group,Age group,Gender,DHB of residence,Population,Notes: 
Asian,18-24,Unknown/Other,Waitemata,5,"DHB of residence refers to the DHB where the individual resides, not the DHB where the vaccination was administered ."
Asian,18-24,Unknown/Other,Waikato,5,"Where a number is less than 5, the record is suppressed to protect individual privacy, as a result, totals of individual records may not sum to gross figures.  These values have been summed into a single row with the header ""Various"""
Asian,25-29,Unknown/Other,Hawkes Bay,5,
Asian,40-44,Unknown/Other,Waikato,5,
Asian,50-54,Unknown/Other,Counties Manukau,5,
Asian,60-64,Unknown/Other,Auckland,5,
Asian,60-64,Unknown/Other,Waitemata,5,
Asian,60-64,Unknown/Other,Waikato,5,
Asian,65-69,Unknown/Other,Counties Manukau,5,
Asian,70-74,Female,West Coast,5,
Asian,70-74,Male,Tairawhiti,5,
Asian,70-74,Male,Wairarapa,5,
Asian,75-79,Female,Wairarapa,5,
Asian,80-84,Female,Wairarapa,5,
Asian,80-84,Male,South Canterbury,5,
Asian,85-89,Female,Overseas / Unknown,5,
Asian,85-89,Female,Whanganui,5,
Asian,90+,Male,Bay of Plenty,5,
European or Other,0-4,Unknown/Other,Waitemata,5,
European or Other,0-4,Unknown/Other,Southern,5,
European or Other,12-17,Unknown/Other,Counties Manukau,5,
European or Other,12-17,Unknown/Other,Southern,5,
European or Other,30-34,Unknown/Other,MidCentral,5,
European or Other,35-39,Unknown/Other,Canterbury,5,
European or Other,35-39,Unknown/Other,Taranaki,5,
European or Other,40-44,Unknown/Other,Waitemata,5,
European or Other,40-44,Unknown/Other,Capital and Coast,5,
European or Other,5-11,Unknown/Other,Canterbury,5,
European or Other,50-54,Unknown/Other,Auckland,5,
European or Other,70-74,Unknown/Other,Waitemata,5,
Maori,90+,Male,Hutt Valley,5,
Maori,90+,Male,Nelson Marlborough,5,
Maori,90+,Male,Taranaki,5,
Pacific Peoples,18-24,Unknown/Other,Waitemata,5,
Pacific Peoples,35-39,Unknown/Other,Counties Manukau,5,
Pacific Peoples,40-44,Unknown/Other,Counties Manukau,5,
Pacific Peoples,5-11,Unknown/Other,Auckland,5,
Pacific Peoples,65-69,Male,West Coast,5,
Pacific Peoples,75-79,Female,Wairarapa,5,
Pacific Peoples,75-79,Male,Tairawhiti,5,
Pacific Peoples,75-79,Male,Taranaki,5,
Pacific Peoples,80-84,Female,Wairarapa,5,
Pacific Peoples,85-89,Male,Lakes,5,
Pacific Peoples,90+,Female,Northland,5,
Unknown,0-4,Female,Bay of Plenty,5,
Unknown,0-4,Female,Hutt Valley,5,
Unknown,0-4,Male,Lakes,5,
Unknown,0-4,Male,Nelson Marlborough,5,
Unknown,0-4,Male,Taranaki,5,
Unknown,0-4,Unknown/Other,Capital and Coast,5,
Unknown,0-4,Unknown/Other,Overseas / Unknown,5,
Unknown,12-17,Female,Bay of Plenty,5,
Unknown,12-17,Female,Lakes,5,
Unknown,18-24,Male,Waitemata,5,
Unknown,18-24,Male,Hutt Valley,5,
Unknown,25-29,Female,Tairawhiti,5,
Unknown,25-29,Female,Wairarapa,5,
Unknown,25-29,Male,Nelson Marlborough,5,
Unknown,25-29,Unknown/Other,Taranaki,5,
Unknown,30-34,Female,Northland,5,
Unknown,30-34,Female,Tairawhiti,5,
Unknown,30-34,Male,Wairarapa,5,
Unknown,30-34,Male,Whanganui,5,
Unknown,30-34,Unknown/Other,Counties Manukau,5,
Unknown,35-39,Female,Wairarapa,5,
Unknown,35-39,Male,Tairawhiti,5,
Unknown,40-44,Female,Hawkes Bay,5,
Unknown,40-44,Male,Wairarapa,5,
Unknown,5-11,Female,Lakes,5,
Unknown,5-11,Female,Tairawhiti,5,
Unknown,5-11,Male,Nelson Marlborough,5,
Unknown,5-11,Male,Tairawhiti,5,
Unknown,50-54,Female,South Canterbury,5,
Unknown,60-64,Female,West Coast,5,
Unknown,70-74,Male,Whanganui,5,
Unknown,75-79,Female,Bay of Plenty,5,
Unknown,80-84,Male,Hutt Valley,5,
Unknown,85-89,Male,Canterbury,5,
Unknown,85-89,Male,Overseas / Unknown,5,
Unknown,90+,Male,Auckland,5,
Asian,12-17,Unknown/Other,Waikato,6,
Asian,18-24,Unknown/Other,Capital and Coast,6,
Asian,30-34,Unknown/Other,Canterbury,6,
Asian,30-34,Unknown/Other,Hawkes Bay,6,
Asian,30-34,Unknown/Other,Waikato,6,
Asian,35-39,Unknown/Other,Capital and Coast,6,
Asian,35-39,Unknown/Other,Waikato,6,
Asian,40-44,Unknown/Other,Canterbury,6,
Asian,5-11,Unknown/Other,Canterbury,6,
Asian,55-59,Unknown/Other,Waitemata,6,
Asian,55-59,Unknown/Other,Counties Manukau,6,
Asian,65-69,Unknown/Other,Waitemata,6,
Asian,70-74,Male,West Coast,6,
Asian,80-84,Male,Tairawhiti,6,
Asian,85-89,Female,Lakes,6,
Asian,85-89,Male,Northland,6,
Asian,85-89,Male,Tairawhiti,6,
Asian,90+,Female,Bay of Plenty,6,
Asian,90+,Male,Southern,6,
European or Other,12-17,Unknown/Other,Hutt Valley,6,
European or Other,18-24,Unknown/Other,Hutt Valley,6,
European or Other,30-34,Unknown/Other,Southern,6,
Maori,80-84,Female,Overseas / Unknown,6,
Maori,90+,Female,South Canterbury,6,
Pacific Peoples,0-4,Unknown/Other,Counties Manukau,6,
Pacific Peoples,18-24,Female,West Coast,6,
Pacific Peoples,18-24,Unknown/Other,Counties Manukau,6,
Pacific Peoples,25-29,Male,West Coast,6,
Pacific Peoples,60-64,Male,West Coast,6,
Pacific Peoples,70-74,Female,South Canterbury,6,
Pacific Peoples,70-74,Male,South Canterbury,6,
Pacific Peoples,75-79,Female,Tairawhiti,6,
Pacific Peoples,75-79,Female,Taranaki,6,
Pacific Peoples,75-79,Male,Overseas / Unknown,6,
Pacific Peoples,75-79,Male,South Canterbury,6,
Pacific Peoples,75-79,Male,Whanganui,6,
Pacific Peoples,80-84,Female,Overseas / Unknown,6,
Pacific Peoples,80-84,Female,Tairawhiti,6,
Pacific Peoples,85-89,Male,Hawkes Bay,6,
Pacific Peoples,85-89,Male,Northland,6,
Unknown,0-4,Female,Nelson Marlborough,6,
Unknown,0-4,Male,Northland,6,
Unknown,12-17,Male,Hawkes Bay,6,
Unknown,18-24,Female,Waitemata,6,
Unknown,18-24,Male,Counties Manukau,6,
Unknown,18-24,Male,MidCentral,6,
Unknown,18-24,Male,Overseas / Unknown,6,
Unknown,18-24,Male,Bay of Plenty,6,
Unknown,18-24,Unknown/Other,Overseas / Unknown,6,
Unknown,25-29,Male,Northland,6,
Unknown,30-34,Male,Nelson Marlborough,6,
Unknown,35-39,Female,Tairawhiti,6,
Unknown,45-49,Female,Bay of Plenty,6,
Unknown,45-49,Female,South Canterbury,6,
Unknown,45-49,Female,Tairawhiti,6,
Unknown,45-49,Female,Wairarapa,6,
Unknown,45-49,Male,Tairawhiti,6,
Unknown,5-11,Female,Nelson Marlborough,6,
Unknown,5-11,Female,Overseas / Unknown,6,
Unknown,5-11,Male,Lakes,6,
Unknown,50-54,Female,Tairawhiti,6,
Unknown,50-54,Female,West Coast,6,
Unknown,55-59,Female,Bay of Plenty,6,
Unknown,55-59,Female,South Canterbury,6,
Unknown,55-59,Female,Whanganui,6,
Unknown,60-64,Female,Wairarapa,6,
Unknown,70-74,Male,Tairawhiti,6,
Unknown,75-79,Female,Lakes,6,
Unknown,75-79,Female,Taranaki,6,
Unknown,75-79,Male,Hutt Valley,6,
Unknown,75-79,Male,Northland,6,
Unknown,80-84,Female,Whanganui,6,
Unknown,80-84,Male,Lakes,6,
Asian,0-4,Unknown/Other,Waitemata,7,
Asian,12-17,Unknown/Other,Auckland,7,
Asian,12-17,Unknown/Other,Waitemata,7,
Asian,18-24,Unknown/Other,Canterbury,7,
Asian,30-34,Unknown/Other,Capital and Coast,7,
Asian,35-39,Unknown/Other,Canterbury,7,
Asian,40-44,Unknown/Other,Counties Manukau,7,
Asian,5-11,Unknown/Other,Auckland,7,
Asian,60-64,Male,Tairawhiti,7,
Asian,60-64,Unknown/Other,Counties Manukau,7,
Asian,75-79,Female,South Canterbury,7,
Asian,80-84,Male,Taranaki,7,
Asian,85-89,Male,Nelson Marlborough,7,
Asian,90+,Female,Northland,7,
Asian,90+,Male,MidCentral,7,
European or Other,12-17,Unknown/Other,Canterbury,7,
European or Other,18-24,Unknown/Other,Taranaki,7,
European or Other,25-29,Unknown/Other,Counties Manukau,7,
European or Other,25-29,Unknown/Other,Nelson Marlborough,7,
European or Other,30-34,Unknown/Other,Waitemata,7,
European or Other,30-34,Unknown/Other,Canterbury,7,
European or Other,35-39,Unknown/Other,Counties Manukau,7,
European or Other,35-39,Unknown/Other,Capital and Coast,7,
European or Other,35-39,Unknown/Other,Waikato,7,
European or Other,40-44,Unknown/Other,Canterbury,7,
European or Other,5-11,Unknown/Other,Waitemata,7,
European or Other,5-11,Unknown/Other,Capital and Coast,7,
Maori,85-89,Male,South Canterbury,7,
Maori,90+,Female,Whanganui,7,
Maori,90+,Male,Waitemata,7,
Pacific Peoples,55-59,Female,West Coast,7,
Pacific Peoples,65-69,Female,South Canterbury,7,
Pacific Peoples,70-74,Male,Taranaki,7,
Pacific Peoples,75-79,Female,South Canterbury,7,
Pacific Peoples,80-84,Male,Lakes,7,
Pacific Peoples,80-84,Male,Taranaki,7,
Unknown,0-4,Male,Bay of Plenty,7,
Unknown,0-4,Male,Southern,7,
Unknown,12-17,Female,Southern,7,
Unknown,12-17,Male,Overseas / Unknown,7,
Unknown,18-24,Female,Canterbury,7,
Unknown,18-24,Female,Overseas / Unknown,7,
Unknown,18-24,Female,Southern,7,
Unknown,18-24,Male,Southern,7,
Unknown,18-24,Female,Hutt Valley,7,
Unknown,25-29,Female,Whanganui,7,
